Jana,90,1,2,7
Graeme,73,5,2,3
Jehanna,94,4,3,2
Kaiser,76,2,1,2
Fee,73,7,8,0
Mirilla,87,3,6,8
Jamill,95,5,1,2
Fredric,89,1,4,6
Guenna,86,8,2,6
Malena,89,5,6,6
Kenn,100,1,9,4
Catlin,86,9,2,6
Flem,70,8,2,7
Johnath,80,7,4,1
Hank,84,2,7,4
Domenic,82,3,8,9
Chelsea,97,1,5,5
Emlynn,71,3,9,9
Lissy,73,6,2,10
Eberhard,86,1,7,1
Dallis,80,7,6,10
Hurleigh,85,7,2,4
Sollie,100,5,4,7
Alick,75,4,3,6
Cobby,86,3,8,10
Bev,88,2,3,4
Wakefield,72,6,1,8
Corbie,91,3,4,5
Daphna,91,2,9,7
Domenico,80,2,4,4
Arlana,70,2,3,23
Maia,93,2,4,25
Timotheus,87,5,7,21
Curry,97,9,5,27
Alex,95,2,1,28
Rudie,94,9,4,27
Tasha,73,1,9,23
Hank,71,2,3,22
Min,82,8,4,30
Hugibert,92,1,3,25
Melodie,78,8,6,24
Archibald,85,8,6,22
Brynna,83,3,1,28
Ara,84,5,7,25
Michail,77,3,7,30
Damara,90,2,4,28
Carley,71,7,5,23
Carmella,88,4,2,26
Alene,85,9,5,27
Damita,90,8,5,20
Ginny,80,8,4,20
Thorn,86,1,6,20
Skipper,97,2,1,21
Geneva,74,4,2,22
Bob,72,2,8,21
Minette,78,6,2,30
Eadith,73,9,7,24
Zeb,97,1,7,22
Van,88,2,8,20
Randell,97,7,8,30
Tallou,98,3,5,23
Madalena,73,8,3,23
Damita,90,4,8,30
Karim,73,1,7,29
Saunderson,71,4,1,20
Josefina,71,9,4,20
Sissy,70,9,5,20
Claudius,86,7,8,22
Haleigh,80,8,6,28
Hattie,80,2,1,30
Brana,75,1,5,29
Eugenius,91,8,4,28
Milicent,99,8,6,30
Stacey,94,2,8,20
Kippie,98,4,8,25
Ermengarde,94,1,6,46
Vickie,89,4,6,40
Sunny,86,8,3,48
Carr,98,8,3,42
Van,84,3,4,41
Sheilakathryn,95,6,2,41
Marne,72,8,5,45
Mame,98,9,4,47
Benni,78,5,9,50
Meryl,88,2,8,50
Tresa,87,1,5,41
Lola,77,7,1,45
Teresina,81,6,8,49
Rustie,78,6,5,48
Valentina,99,2,9,45
Bren,99,4,6,45
Lina,95,8,1,41
Lenore,70,9,3,48
Dal,74,2,1,44
Germaine,87,5,9,46
Bartolemo,90,9,2,43
Pollyanna,81,2,7,41
Retha,88,1,4,48
Lana,99,1,3,46
Scott,75,3,6,48
Sibelle,82,4,2,49
Morry,75,5,3,48
"Dee dee",85,1,9,48
Wayland,72,1,7,50
Helenelizabeth,100,8,6,41
Maxim,100,2,5,46
Wakefield,94,9,8,40
Catlin,71,3,7,43
Kilian,80,7,8,44
Darrelle,72,8,7,50
Elie,89,9,3,49
Sibel,97,6,1,50
Garrek,81,8,4,44
Tedi,93,2,5,41
Cecil,86,3,9,50
Nanon,85,7,8,41
Emerson,100,3,1,46
Kirk,91,6,1,47
Freemon,81,1,3,46
Bren,70,1,9,44
Rog,70,6,2,45
Theressa,85,8,6,48
Nichole,78,3,9,49
Merola,100,9,6,41
Gilbert,84,3,6,43
Dominick,74,2,1,45
Odella,81,4,8,46
Sunshine,94,5,7,43
Billy,75,3,2,43
Lou,77,2,9,44
Melodie,99,9,5,45
Wallie,72,1,2,49
Angele,95,6,1,44
Claudius,82,5,9,46
Mathian,71,4,8,46
